2026-07-15 18:08:28.061 [main] INFO  c.e.t.util.TesseractDataPathResolver - [cid=] [severity=] [event=] Using configured Tesseract tessdata path: /tmp/junit-13936599488811070889/custom-tessdata
2026-07-15 18:08:28.075 [main] WARN  c.e.t.util.TesseractDataPathResolver - [cid=] [severity=] [event=] Configured tesseract.datapath '/nonexistent/tessdata' is missing eng.traineddata; auto-detecting platform default
2026-07-15 18:08:28.076 [main] WARN  c.e.t.util.TesseractDataPathResolver - [cid=] [severity=] [event=] No valid Tesseract tessdata directory found. Set tesseract.datapath or install tesseract-langpack-eng.
2026-07-15 18:08:28.775 [main] INFO  c.e.t.service.chat.ChatService - [cid=] [severity=] [event=] Created live chat conversation 55 for user 10
2026-07-15 18:08:28.823 [main] INFO  c.e.t.service.chat.ChatService - [cid=] [severity=] [event=] Admin 100 claimed conversation 1
2026-07-15 18:08:28.835 [main] INFO  c.e.t.service.chat.ChatService - [cid=] [severity=] [event=] Admin 100 started live chat 77 with user 10
2026-07-15 18:08:30.088 [main] INFO  c.e.t.service.wallet.WalletService - [cid=] [severity=] [event=] Deleted CREDIT transaction 200 (amount=500.0, userId=10) and silently adjusted balance.
2026-07-15 18:08:30.127 [main] INFO  c.e.t.service.wallet.WalletService - [cid=] [severity=] [event=] Deleted CREDIT transaction 200 (amount=500.0, userId=10) and silently adjusted balance.
2026-07-15 18:08:30.139 [main] INFO  c.e.t.service.wallet.WalletService - [cid=] [severity=] [event=] Deleted CREDIT transaction 200 (amount=500.0, userId=10) and silently adjusted balance.
2026-07-15 18:08:30.146 [main] INFO  c.e.t.service.wallet.WalletService - [cid=] [severity=] [event=] Deleted CREDIT transaction 200 (amount=500.0, userId=10) and silently adjusted balance.
2026-07-15 18:10:35.804 [background-preinit] INFO  o.h.validator.internal.util.Version - [cid=] [severity=] [event=] HV000001: Hibernate Validator 8.0.2.Final
2026-07-15 18:10:35.888 [main] INFO  c.e.tufantrip.TufantripApplication - [cid=] [severity=] [event=] Starting TufantripApplication using Java 17.0.16 with PID 19654 (/home/cloudy/java/flight-backend/target/classes started by cloudy in /home/cloudy/java/flight-backend)
2026-07-15 18:10:35.889 [main] DEBUG c.e.tufantrip.TufantripApplication - [cid=] [severity=] [event=] Running with Spring Boot v3.5.3, Spring v6.2.8
2026-07-15 18:10:35.890 [main] INFO  c.e.tufantrip.TufantripApplication - [cid=] [severity=] [event=] No active profile set, falling back to 1 default profile: "default"
2026-07-15 18:10:38.060 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [cid=] [severity=] [event=] Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-15 18:10:38.062 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [cid=] [severity=] [event=] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-07-15 18:10:38.560 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [cid=] [severity=] [event=] Finished Spring Data repository scanning in 487 ms. Found 104 JPA repository interfaces.
2026-07-15 18:10:38.580 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [cid=] [severity=] [event=] Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-15 18:10:38.581 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [cid=] [severity=] [event=] Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-15 18:10:38.620 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [cid=] [severity=] [event=] Spring Data Redis - Could not safely identify store assignment for repository candidate interface access.repository.com.aerionsoft.application.PermissionGroupRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-07-15 18:10:38.620 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [cid=] [severity=] [event=] Spring Data Redis - Could not safely identify store assignment for repository candidate interface access.repository.com.aerionsoft.application.PermissionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-07-15 18:10:38.620 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [cid=] [severity=] [event=] Spring Data Redis - Could not safely identify store assignment for repository candidate interface access.repository.com.aerionsoft.application.RoleAssignmentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-07-15 18:10:38.621 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [cid=] [severity=] [event=] Spring Data Redis - Could not safely identify store assignment for repository candidate interface access.repository.com.aerionsoft.application.RoleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-07-15 18:10:38.621 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [cid=] [severity=] [event=] Spring Data Redis - Could not safely identify store assignment for repository candidate interface audit.repository.com.aerionsoft.application.ActivityLogRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-07-15 18:10:38.621 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - [cid=] [severity=] [event=] Spring Data Redis - Could not safely identify store assignment for repository candidate interface booking.repository.com.aerionsoft.application.BookingPackageBaggageRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
